parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,getDept success,getBackupEmp success,Depts only have yunzhanghu,getPermTagsAndValues <:*:>,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no need or no have tags,build <:*:>,ClientEnvHandler is <:*:>,<:GIN:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,Response=<:MAP:>,message,superiorAndDeputy empty,approve callback start,svc.ApproveCallback failed,approve status error,loaded policy count:<:NUM:>,loadRegoMySQLInterval success,<:list modules:>,timestamp,unknown
2074,2077,2077,2077,6,89,233,89,89,221,12,89,6,159,159,159,89,0,89,233,27,27,12,3,3,0,3,3,3,2,2,2,2023-11-24 13:20:00,0
2031,2028,2028,2028,4,84,242,84,84,225,17,84,4,163,163,162,84,0,84,242,30,30,17,6,6,1,6,6,6,2,2,2,2023-11-24 13:22:00,0
2042,2046,2046,2046,7,83,211,83,83,200,11,83,7,155,155,154,83,0,83,211,27,27,11,3,3,1,3,3,3,2,2,2,2023-11-24 13:24:00,0
2043,2040,2040,2040,6,86,217,86,86,211,6,86,6,165,165,165,86,0,86,217,27,27,6,3,3,0,3,3,2,2,2,2,2023-11-24 13:26:00,1
2027,2020,2020,2020,8,84,227,84,84,222,5,84,8,150,150,148,84,0,84,227,28,28,5,4,4,2,4,4,3,2,2,2,2023-11-24 13:28:00,1
2020,2032,2032,2032,3,103,321,103,103,211,110,103,3,152,152,152,103,0,103,321,30,30,110,6,6,0,6,6,6,2,2,2,2023-11-24 13:30:00,0
2035,2028,2028,2028,6,102,235,102,102,213,22,102,6,145,145,145,102,0,102,235,27,27,22,3,3,0,3,3,3,2,2,2,2023-11-24 13:32:00,0
2048,2051,2051,2051,6,95,222,95,95,210,12,95,6,162,162,161,95,0,95,222,27,27,12,3,3,1,3,3,3,2,2,2,2023-11-24 13:34:00,0
2039,2037,2038,2038,7,103,330,102,102,212,118,102,7,147,147,147,102,0,102,330,27,27,118,3,3,0,3,3,3,2,2,2,2023-11-24 13:36:00,0
2070,2075,2074,2074,3,90,222,91,91,213,9,91,3,171,171,171,91,0,91,222,30,30,9,6,6,0,6,6,6,2,2,2,2023-11-24 13:38:00,0
2041,2039,2039,2039,6,80,320,80,80,205,115,80,6,154,154,154,80,0,80,320,27,27,115,3,3,0,3,3,3,2,2,2,2023-11-24 13:40:00,2
2031,2027,2027,2027,4,97,219,97,97,207,12,97,4,150,150,149,97,0,97,219,27,27,12,3,3,1,3,3,3,2,2,2,2023-11-24 13:42:00,0
2011,2019,2017,2017,6,90,236,90,90,224,12,90,6,150,150,149,90,0,90,236,28,28,12,4,4,1,4,4,3,2,2,2,2023-11-24 13:44:00,1
2091,2082,2082,2082,9,86,236,86,86,213,23,86,9,149,149,149,86,0,86,236,30,30,23,6,6,0,6,6,5,2,2,2,2023-11-24 13:46:00,3
2037,2035,2035,2035,2,101,236,101,101,220,16,101,2,152,152,150,101,0,101,236,27,27,16,3,3,2,3,3,3,2,2,2,2023-11-24 13:48:00,0
2057,2060,2060,2060,7,97,230,97,97,215,15,97,7,160,160,158,97,0,97,230,27,27,15,3,3,2,3,3,3,2,2,2,2023-11-24 13:50:00,0
2065,2070,2070,2070,6,92,235,92,92,218,17,92,6,148,148,148,92,0,92,235,30,30,17,6,6,0,6,6,6,2,2,2,2023-11-24 13:52:00,2
2025,2021,2021,2021,5,89,226,89,89,216,10,89,5,143,143,142,89,0,89,226,27,27,10,3,3,1,3,3,3,2,2,2,2023-11-24 13:54:00,0
2021,2022,2022,2022,4,86,342,86,86,223,119,86,4,152,152,152,86,0,86,342,27,27,119,3,3,0,3,3,3,2,2,2,2023-11-24 13:56:00,0
2033,2038,2038,2038,4,88,226,88,88,212,14,88,4,160,160,159,88,0,88,226,28,28,14,4,4,0,4,4,3,2,2,2,2023-11-24 13:58:00,2
2046,2043,2043,2043,4,84,236,84,84,223,13,84,4,167,167,166,84,0,84,236,30,30,13,6,6,1,6,6,6,2,2,2,2023-11-24 14:00:00,0
