pageResource all api not hava log,the employee does not exist,not find dictionary type=<:NUM:>,[isEqualDirectSuperior] fanwei Employee not exist in yid,"isEqualDirectSuperior failed, err=fanweiEmployee not exist in yid",AuthSessionVali<:updateFanweiEmployee failed:>,[GetWeChatUserInfo] GetWeChatUserInf<:updateFanweiEmployee failed:>,[getOtpKey] GetWeChatUserInf<:updateFanweiEmployee failed:>,"[securitySessionCheck] GetSecuritySessionFromReq failed, err=securecookie: expired timestamp [trace.id=<:SEQ:> <:transactionID:> <:spanID:>",[securitySessionCheck] CreatAndSaveSessio<:updateFanweiEmployee failed:>,"[SimplePost] failed, <:ERRORPost:>",[UpdateEmployee] <:*:> failed:>,no employee,can't find addEmp from updateEmp and empMapTo,"[updateFanweiEmployee] failed, <:updateEmployeeData:>",timestamp,unknown
0,5,138,672,672,6,0,0,0,0,1,1,1,0,1,2023-10-26 18:47:27,0
0,79,46,0,0,3,1,1,0,0,0,0,0,0,0,2023-10-26 18:49:27,3
0,149,184,672,672,0,1,1,0,0,1,1,0,2,1,2023-10-26 18:51:27,28
0,1,115,0,0,1,0,0,0,0,0,0,1,0,0,2023-10-26 18:53:27,0
0,222,69,650,650,0,0,0,0,0,0,0,1,0,0,2023-10-26 18:55:27,0
0,6,115,22,22,0,0,0,0,0,1,1,1,0,1,2023-10-26 18:57:27,0
0,75,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 18:59:27,0
0,152,253,571,570,0,0,0,0,0,0,0,1,0,0,2023-10-26 19:01:27,0
0,6,69,101,102,1,1,1,0,0,1,1,0,2,1,2023-10-26 19:03:27,25
0,223,46,0,0,3,3,3,3,3,0,0,1,0,0,2023-10-26 19:05:27,0
0,3,138,672,672,0,1,1,1,1,1,1,1,0,1,2023-10-26 19:07:27,0
0,87,46,0,0,3,2,2,1,1,0,0,0,0,0,2023-10-26 19:09:27,0
0,141,230,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-26 19:11:27,25
0,6,69,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 19:13:27,0
0,221,69,0,0,0,0,0,0,0,0,0,2,0,0,2023-10-26 19:15:27,0
0,2,115,672,672,1,2,2,1,1,1,1,0,0,1,2023-10-26 19:17:27,0
0,82,23,0,0,1,0,0,0,0,0,0,0,0,0,2023-10-26 19:19:27,0
0,146,276,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-26 19:21:27,25
0,2,46,0,0,2,1,1,1,1,0,0,0,0,0,2023-10-26 19:23:27,0
0,225,69,0,0,2,1,1,3,3,0,0,1,0,0,2023-10-26 19:25:27,4
0,1,115,672,672,0,0,0,1,1,1,1,1,0,1,2023-10-26 19:27:27,4
0,84,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 19:29:27,0
0,146,230,672,672,3,0,0,0,0,1,1,1,2,1,2023-10-26 19:31:27,25
0,2,69,0,0,1,1,1,0,0,0,0,0,0,0,2023-10-26 19:33:27,0
0,225,69,0,0,0,0,0,1,1,0,0,1,0,0,2023-10-26 19:35:27,0
0,2,115,672,672,8,0,0,0,0,1,1,1,0,1,2023-10-26 19:37:27,0
0,85,46,0,0,5,2,2,2,2,0,0,0,0,0,2023-10-26 19:39:27,2
0,149,207,672,672,2,0,0,0,0,1,1,0,2,1,2023-10-26 19:41:27,25
0,2,92,0,0,2,0,0,0,0,0,0,1,0,0,2023-10-26 19:43:27,0
0,222,46,672,672,0,0,0,0,0,1,1,1,0,1,2023-10-26 19:45:27,1
0,5,138,0,0,1,2,2,1,1,0,0,1,0,0,2023-10-26 19:47:27,0
0,80,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 19:49:27,0
0,145,207,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-26 19:51:27,25
0,5,92,0,0,1,1,1,1,1,0,0,0,0,0,2023-10-26 19:53:27,0
0,221,69,672,672,2,0,0,1,1,0,0,1,0,0,2023-10-26 19:55:27,0
0,8,115,0,0,1,0,0,0,0,1,1,1,0,1,2023-10-26 19:57:27,1
0,76,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 19:59:27,0
0,150,230,672,672,0,1,1,0,0,1,1,1,2,1,2023-10-26 20:01:27,32
0,6,92,0,0,2,3,3,2,2,0,0,0,0,0,2023-10-26 20:03:27,4
0,222,69,0,0,2,0,0,0,0,0,0,0,0,0,2023-10-26 20:05:27,0
0,3,92,672,672,0,0,0,0,0,1,1,2,0,1,2023-10-26 20:07:27,0
0,85,69,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 20:09:27,0
0,144,253,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-26 20:11:27,25
0,4,23,0,0,1,0,0,0,0,0,0,0,0,0,2023-10-26 20:13:27,0
0,228,92,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-26 20:15:27,0
0,1,115,672,672,0,0,0,0,0,1,1,1,0,1,2023-10-26 20:17:27,0
0,86,23,0,0,0,2,2,0,0,0,0,0,0,0,2023-10-26 20:19:27,0
0,143,253,672,672,1,0,0,1,1,1,1,1,2,1,2023-10-26 20:21:27,25
0,1,69,0,0,1,1,1,1,1,0,0,0,0,0,2023-10-26 20:23:27,4
0,227,23,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 20:25:27,0
0,1,161,672,672,2,2,2,0,0,1,1,2,0,1,2023-10-26 20:27:27,0
0,82,46,0,0,0,1,1,2,2,0,0,0,0,0,2023-10-26 20:29:27,6
0,150,207,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-26 20:31:27,25
0,3,92,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 20:33:27,2
0,221,69,0,0,0,1,1,0,0,0,0,0,0,0,2023-10-26 20:35:27,0
0,8,92,672,672,0,0,0,0,0,1,1,2,0,1,2023-10-26 20:37:27,0
0,82,69,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 20:39:27,0
0,146,230,0,0,1,2,2,1,1,0,0,1,2,0,2023-10-26 20:41:27,25
0,2,46,672,672,5,2,2,1,1,1,1,0,0,1,2023-10-26 20:43:27,0
0,221,92,0,0,0,1,1,1,1,0,0,1,0,0,2023-10-26 20:45:27,0
0,5,115,672,672,1,4,4,3,3,1,1,1,0,1,2023-10-26 20:47:27,2
0,82,23,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 20:49:27,0
0,143,253,672,672,1,0,0,0,0,1,1,1,2,1,2023-10-26 20:51:27,25
0,6,69,0,0,0,1,1,0,0,0,0,0,0,0,2023-10-26 20:53:27,0
0,223,23,0,0,1,1,1,1,1,0,0,0,0,0,2023-10-26 20:55:27,0
0,1,161,672,672,0,0,0,0,0,1,1,2,0,1,2023-10-26 20:57:27,0
0,85,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 20:59:27,0
0,144,230,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-26 21:01:27,874
0,6,92,0,0,1,1,1,0,0,0,0,0,0,0,2023-10-26 21:03:27,0
0,221,69,0,0,1,2,2,2,2,0,0,0,0,0,2023-10-26 21:05:27,0
0,3,69,672,672,0,0,0,0,0,1,1,2,0,1,2023-10-26 21:07:27,0
0,81,92,0,0,1,1,1,1,1,0,0,0,0,0,2023-10-26 21:09:27,0
0,147,207,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-26 21:11:27,0
0,2,46,672,672,0,0,0,0,0,1,1,0,2,1,2023-10-26 21:13:27,25
0,225,115,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-26 21:15:27,0
0,1,115,672,672,2,2,2,2,2,1,1,1,0,1,2023-10-26 21:17:27,0
0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 21:19:27,0
0,147,276,672,672,2,0,0,0,0,1,1,1,2,1,2023-10-26 21:21:27,25
0,2,69,0,0,0,2,2,1,1,0,0,0,0,0,2023-10-26 21:23:27,0
0,226,23,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 21:25:27,0
0,2,161,672,672,1,1,1,1,1,1,1,2,0,1,2023-10-26 21:27:27,0
0,79,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 21:29:27,0
0,151,207,672,672,4,0,0,2,2,1,1,1,2,1,2023-10-26 21:31:27,27
0,1,92,0,0,0,1,1,1,1,0,0,0,0,0,2023-10-26 21:33:27,0
0,221,69,672,672,0,0,0,0,0,1,1,0,0,1,2023-10-26 21:35:27,0
0,9,115,0,0,0,1,1,0,0,0,0,2,0,0,2023-10-26 21:37:27,0
0,84,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 21:39:27,0
0,144,184,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-26 21:41:27,25
0,8,115,0,0,3,0,0,1,1,0,0,0,0,0,2023-10-26 21:43:27,0
0,221,69,672,672,1,2,2,2,2,0,0,0,0,0,2023-10-26 21:45:27,0
0,5,115,0,0,1,2,2,1,1,1,1,2,0,1,2023-10-26 21:47:27,0
0,75,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 21:49:27,0
0,149,230,672,672,4,0,0,0,0,1,1,1,2,1,2023-10-26 21:51:27,25
0,7,69,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 21:53:27,5
0,221,69,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 21:55:27,0
0,1,69,672,672,0,0,0,0,0,1,1,2,0,1,2023-10-26 21:57:27,0
0,79,92,0,0,2,2,2,1,1,0,0,0,0,0,2023-10-26 21:59:27,0
0,153,230,0,0,2,0,0,1,1,0,0,1,0,0,2023-10-26 22:01:27,2
0,1,69,672,672,0,0,0,0,0,1,1,0,2,1,2023-10-26 22:03:27,25
0,226,92,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-26 22:05:27,0
0,4,115,672,672,0,0,0,0,0,1,1,1,0,1,2023-10-26 22:07:27,0
0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 22:09:27,0
0,153,276,672,672,1,2,2,1,1,1,1,1,2,1,2023-10-26 22:11:27,27
0,3,69,0,0,2,1,1,1,1,0,0,0,0,0,2023-10-26 22:13:27,0
0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 22:15:27,0
0,2,184,672,672,4,3,3,1,1,1,1,2,0,1,2023-10-26 22:17:27,1
0,73,46,0,0,3,1,1,2,2,0,0,0,0,0,2023-10-26 22:19:27,4
0,155,184,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-26 22:21:27,25
0,2,115,0,0,2,0,0,0,0,0,0,0,0,0,2023-10-26 22:23:27,0
0,221,69,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 22:25:27,0
0,5,92,672,672,0,0,0,0,0,1,1,2,0,1,2023-10-26 22:27:27,0
0,83,69,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 22:29:27,0
0,148,207,0,0,4,0,0,1,1,0,0,1,0,0,2023-10-26 22:31:27,1
0,1,69,672,672,0,0,0,0,0,1,1,0,2,1,2023-10-26 22:33:27,25
0,222,92,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-26 22:35:27,0
0,6,115,672,672,0,0,0,0,0,1,1,1,0,1,2023-10-26 22:37:27,0
0,79,23,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 22:39:27,0
0,147,276,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-26 22:41:27,25
0,5,46,0,0,3,0,0,2,2,0,0,0,0,0,2023-10-26 22:43:27,2
0,222,23,0,0,4,3,3,1,1,0,0,0,0,0,2023-10-26 22:45:27,4
0,2,161,672,672,0,0,0,1,1,1,1,2,0,1,2023-10-26 22:47:27,0
0,87,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 22:49:27,0
0,143,207,672,672,1,2,2,1,1,1,1,1,2,1,2023-10-26 22:51:27,25
0,6,92,0,0,1,0,0,0,0,0,0,0,0,0,2023-10-26 22:53:27,0
0,221,69,0,0,3,2,2,2,2,0,0,0,0,0,2023-10-26 22:55:27,0
0,3,92,672,672,2,0,0,1,1,1,1,2,0,1,2023-10-26 22:57:27,0
0,88,69,0,0,1,1,1,2,2,0,0,0,0,0,2023-10-26 22:59:27,0
0,144,230,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-26 23:01:27,0
0,5,69,672,672,0,0,0,0,0,1,1,0,2,1,2023-10-26 23:03:27,25
0,226,92,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 23:05:27,0
0,2,115,672,672,0,0,0,0,0,1,1,2,0,1,2023-10-26 23:07:27,0
0,81,23,0,0,2,2,2,1,1,0,0,0,0,0,2023-10-26 23:09:27,0
0,148,276,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-26 23:11:27,25
0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 23:13:27,0
0,231,46,0,0,1,0,0,1,1,0,0,0,0,0,2023-10-26 23:15:27,0
0,2,138,672,672,1,0,0,0,0,1,1,2,0,1,2023-10-26 23:17:27,0
0,81,46,0,0,0,2,2,1,1,0,0,0,0,0,2023-10-26 23:19:27,0
0,149,161,672,672,0,1,1,0,0,1,1,0,2,1,2023-10-26 23:21:27,25
0,2,138,0,0,1,0,0,0,0,0,0,1,0,0,2023-10-26 23:23:27,0
0,221,46,0,0,3,2,2,2,2,0,0,0,0,0,2023-10-26 23:25:27,0
0,5,138,672,672,0,0,0,0,0,1,1,2,0,1,2023-10-26 23:27:27,0
0,82,46,0,0,1,0,0,0,0,0,0,0,0,0,2023-10-26 23:29:27,0
0,144,230,651,650,2,3,3,1,1,0,0,1,0,0,2023-10-26 23:31:27,0
0,5,92,21,22,1,1,1,2,2,1,1,0,2,1,2023-10-26 23:33:27,25
0,223,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 23:35:27,0
0,6,138,672,672,1,1,1,0,0,1,1,2,0,1,2023-10-26 23:37:27,4
0,81,23,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 23:39:27,0
0,144,253,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-26 23:41:27,25
0,6,69,0,0,2,0,0,0,0,0,0,0,0,0,2023-10-26 23:43:27,0
0,221,69,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 23:45:27,0
0,2,115,672,672,1,1,1,0,0,1,1,2,0,1,2023-10-26 23:47:27,1
0,85,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 23:49:27,0
0,144,230,672,672,3,2,2,1,1,1,1,1,2,1,2023-10-26 23:51:27,25
0,2,69,0,0,1,0,0,0,0,0,0,0,0,0,2023-10-26 23:53:27,1
0,226,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 23:55:27,0
0,2,138,672,672,4,1,1,2,2,1,1,2,0,1,2023-10-26 23:57:27,0
0,90,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-26 23:59:27,0
0,205,184,672,672,0,0,0,0,0,1,1,0,2,1,2023-10-27 00:01:27,871
0,2,138,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-27 00:03:27,0
0,225,46,672,672,0,0,0,0,0,1,1,0,0,1,2023-10-27 00:05:27,0
0,5,138,0,0,1,0,0,0,0,0,0,2,0,0,2023-10-27 00:07:27,0
0,81,46,0,0,0,1,1,1,1,0,0,0,0,0,2023-10-27 00:09:27,0
0,147,184,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-27 00:11:27,27
0,2,115,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 00:13:27,0
0,221,69,672,672,0,0,0,0,0,1,1,0,0,1,2023-10-27 00:15:27,12
0,6,115,0,0,0,0,0,0,0,0,0,2,0,0,2023-10-27 00:17:27,6
0,81,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 00:19:27,0
0,146,207,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-27 00:21:27,25
0,3,92,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 00:23:27,0
0,221,92,602,601,1,1,1,1,1,0,0,0,0,0,2023-10-27 00:25:27,1
0,5,92,70,71,0,0,0,0,0,1,1,2,0,1,2023-10-27 00:27:27,0
0,78,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 00:29:27,0
0,148,253,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-27 00:31:27,25
0,6,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 00:33:27,0
0,221,69,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 00:35:27,0
0,2,92,672,672,0,0,0,0,0,1,1,2,0,1,2023-10-27 00:37:27,0
0,86,69,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 00:39:27,0
0,143,230,672,672,0,0,0,0,0,0,0,1,0,0,2023-10-27 00:41:27,0
0,5,69,0,0,1,0,0,1,1,1,1,0,2,1,2023-10-27 00:43:27,25
0,222,46,0,0,1,1,1,1,1,0,0,0,0,0,2023-10-27 00:45:27,0
0,1,138,672,672,0,0,0,0,0,1,1,2,0,1,2023-10-27 00:47:27,0
0,88,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 00:49:27,0
0,144,230,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-27 00:51:27,25
0,2,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 00:53:27,0
0,226,92,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 00:55:27,0
0,1,115,672,672,0,0,0,0,0,1,1,1,0,1,2023-10-27 00:57:27,0
0,81,46,0,0,1,1,1,0,0,0,0,1,0,0,2023-10-27 00:59:27,0
0,149,230,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-27 01:01:27,25
0,2,69,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 01:03:27,0
0,226,92,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-27 01:05:27,0
0,4,115,672,672,0,0,0,0,0,1,1,0,0,1,2023-10-27 01:07:27,0
0,80,23,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-27 01:09:27,0
0,149,276,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-27 01:11:27,25
0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 01:13:27,0
0,223,69,0,0,1,1,1,1,1,0,0,0,0,0,2023-10-27 01:15:27,0
0,6,115,672,672,1,2,2,1,1,1,1,1,0,1,2023-10-27 01:17:27,0
0,80,23,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-27 01:19:27,0
0,145,253,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-27 01:21:27,25
0,5,69,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 01:23:27,0
0,222,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 01:25:27,0
0,6,138,672,672,0,0,0,0,0,1,1,1,0,1,2023-10-27 01:27:27,0
0,80,46,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-27 01:29:27,0
0,149,230,672,672,0,0,0,0,0,1,1,0,2,1,2023-10-27 01:31:27,25
0,5,69,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-27 01:33:27,0
0,221,46,672,672,0,0,0,0,0,1,1,0,0,1,2023-10-27 01:35:27,0
0,3,138,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-27 01:37:27,0
0,81,46,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-27 01:39:27,0
0,147,207,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-27 01:41:27,25
0,2,92,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 01:43:27,0
0,226,69,672,672,0,0,0,0,0,1,1,0,0,1,2023-10-27 01:45:27,0
0,1,115,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-27 01:47:27,0
0,82,46,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-27 01:49:27,0
0,146,184,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-27 01:51:27,25
0,3,115,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 01:53:27,0
0,225,92,127,127,0,0,0,0,0,0,0,0,0,0,2023-10-27 01:55:27,0
0,1,92,545,545,0,0,0,0,0,1,1,1,0,1,2023-10-27 01:57:27,0
0,77,46,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-27 01:59:27,0
0,157,276,672,672,2,0,0,0,0,1,1,1,2,1,2023-10-27 02:01:27,25
0,2,46,0,0,7,0,0,0,0,0,0,0,0,0,2023-10-27 02:03:27,0
0,222,69,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 02:05:27,0
0,6,92,672,672,0,0,0,0,0,1,1,1,0,1,2023-10-27 02:07:27,0
0,74,69,0,0,0,1,1,0,0,0,0,1,0,0,2023-10-27 02:09:27,0
0,155,230,672,672,1,1,1,1,1,0,0,1,0,0,2023-10-27 02:11:27,2
0,1,69,0,0,0,0,0,0,0,1,1,0,2,1,2023-10-27 02:13:27,25
0,223,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 02:15:27,3
0,5,138,672,672,0,0,0,0,0,1,1,1,0,1,2023-10-27 02:17:27,0
0,75,46,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-27 02:19:27,0
0,152,253,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-27 02:21:27,25
0,5,23,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 02:23:27,0
0,222,92,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-27 02:25:27,0
0,1,115,672,672,0,0,0,0,0,1,1,0,0,1,2023-10-27 02:27:27,0
0,78,46,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-27 02:29:27,0
0,151,230,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-27 02:31:27,25
0,6,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 02:33:27,0
0,222,92,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-27 02:35:27,0
0,2,115,672,672,1,0,0,0,0,1,1,0,0,1,2023-10-27 02:37:27,0
0,81,23,0,0,0,2,2,1,1,0,0,1,0,0,2023-10-27 02:39:27,2
0,148,276,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-27 02:41:27,25
0,3,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 02:43:27,0
0,225,69,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 02:45:27,0
0,2,115,672,672,0,0,0,0,0,1,1,1,0,1,2023-10-27 02:47:27,0
0,84,23,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-27 02:49:27,0
0,145,253,672,672,0,0,0,0,0,1,1,1,2,1,2023-10-27 02:51:27,25
0,1,69,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 02:53:27,0
0,225,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27 02:55:27,0
0,2,138,672,672,0,0,0,0,0,1,1,1,0,1,2023-10-27 02:57:27,0
