pageResource all api not hava log,the employee does not exist,[isEqualDirectSuperior] fanwei Employee not exist in yid,"isEqualDirectSuperior failed, err=fanweiEmployee not exist in yid",not find dictionary type=<:NUM:>,AuthSessionVali<:updateFanweiEmployee failed:>,[GetWeChatUserInfo] GetWeChatUserInf<:updateFanweiEmployee failed:>,[getOtpKey] GetWeChatUserInf<:updateFanweiEmployee failed:>,"[securitySessionCheck] GetSecuritySessionFromReq failed, err=securecookie: expired timestamp [trace.id=<:SEQ:> <:transactionID:> <:spanID:>",[securitySessionCheck] CreatAndSaveSessio<:updateFanweiEmployee failed:>,"[SimplePost] failed, <:ERRORPost:>",no employee,[UpdateEmployee] <:*:> failed:>,"[updateFanweiEmployee] failed, <:updateEmployeeData:>",timestamp,unknown
0,23,0,0,69,2,2,2,1,1,0,1,0,0,2023-11-16 14:32:54,0
0,1,0,0,69,6,4,4,2,2,0,1,0,0,2023-11-16 14:34:54,8
0,228,742,742,138,5,3,3,1,1,1,1,1,1,2023-11-16 14:36:54,6
0,1,0,0,23,0,1,1,1,1,0,0,0,0,2023-11-16 14:38:54,0
0,205,0,0,161,2,1,1,1,1,1,1,0,0,2023-11-16 14:40:54,32
0,27,0,0,161,2,1,1,2,2,0,0,0,0,2023-11-16 14:42:54,4
0,1,0,0,23,0,0,0,0,0,0,1,0,0,2023-11-16 14:44:54,2
0,228,742,742,161,1,1,1,1,1,1,1,1,1,2023-11-16 14:46:54,3
0,4,0,0,46,1,1,1,1,1,0,0,0,0,2023-11-16 14:48:54,0
0,206,0,0,115,3,1,1,1,1,0,1,0,0,2023-11-16 14:50:54,2
0,26,742,742,184,2,1,1,1,1,1,0,1,1,2023-11-16 14:52:54,66
0,4,0,0,46,2,1,1,4,4,0,1,0,0,2023-11-16 14:54:54,79
0,228,742,742,115,1,3,3,1,1,1,1,1,1,2023-11-16 14:56:54,114
0,1,0,0,69,1,0,0,0,0,0,0,0,0,2023-11-16 14:58:54,119
0,204,742,742,207,3,1,1,1,1,1,0,1,1,2023-11-16 15:00:54,888
0,31,0,0,92,3,0,0,1,1,0,1,0,0,2023-11-16 15:02:54,8
0,1,0,0,69,4,2,2,1,1,0,1,0,0,2023-11-16 15:04:54,3
0,228,742,742,138,1,3,3,1,1,1,1,1,1,2023-11-16 15:06:54,2
0,1,0,0,46,0,0,0,0,0,0,0,0,0,2023-11-16 15:08:54,0
0,201,742,742,138,1,1,1,1,1,1,1,1,1,2023-11-16 15:10:54,26
0,34,0,0,161,8,1,1,1,1,0,0,0,0,2023-11-16 15:12:54,26
0,3,0,0,46,0,0,0,0,0,0,1,0,0,2023-11-16 15:14:54,25
0,227,742,742,138,1,1,1,1,1,1,1,1,1,2023-11-16 15:16:54,0
0,2,0,0,46,0,0,0,0,0,0,0,0,0,2023-11-16 15:18:54,2
0,232,0,0,138,2,2,2,2,2,0,1,0,0,2023-11-16 15:20:54,0
0,23,742,742,161,4,4,4,5,5,1,0,1,1,2023-11-16 15:22:54,68
0,2,0,0,46,2,0,0,1,1,0,1,0,0,2023-11-16 15:24:54,74
0,228,742,742,115,2,1,1,0,0,1,1,1,1,2023-11-16 15:26:54,110
0,2,0,0,69,8,3,3,2,2,0,0,0,0,2023-11-16 15:28:54,118
0,222,742,742,207,1,0,0,4,4,1,0,1,1,2023-11-16 15:30:54,28
0,12,0,0,69,0,0,0,0,0,0,1,0,0,2023-11-16 15:32:54,0
0,2,0,0,69,0,2,2,0,0,0,1,0,0,2023-11-16 15:34:54,0
0,230,742,742,138,3,2,2,2,2,1,1,1,1,2023-11-16 15:36:54,4
0,1,0,0,23,2,2,2,1,1,0,0,0,0,2023-11-16 15:38:54,0
0,221,0,0,138,1,0,0,1,1,0,1,0,0,2023-11-16 15:40:54,1
0,11,0,0,184,2,2,2,1,1,0,0,0,0,2023-11-16 15:42:54,2
0,1,0,0,23,0,1,1,1,1,0,1,0,0,2023-11-16 15:44:54,0
0,227,743,743,161,0,0,0,0,0,1,1,1,1,2023-11-16 15:46:54,6
0,2,0,0,46,2,1,1,1,1,0,0,0,0,2023-11-16 15:48:54,4
0,221,0,0,138,7,3,3,4,4,0,1,0,0,2023-11-16 15:50:54,0
0,9,743,743,161,1,0,0,0,0,1,0,1,1,2023-11-16 15:52:54,96
0,2,0,0,46,3,2,2,2,2,0,1,0,0,2023-11-16 15:54:54,74
0,229,743,743,115,2,0,0,1,1,1,1,1,1,2023-11-16 15:56:54,110
0,3,0,0,69,0,2,2,0,0,0,0,0,0,2023-11-16 15:58:54,118
0,216,743,743,230,1,2,2,0,0,1,0,1,1,2023-11-16 16:00:54,27
0,17,0,0,115,0,0,0,0,0,0,1,0,0,2023-11-16 16:02:54,1869
0,1,0,0,69,1,1,1,0,0,0,1,0,0,2023-11-16 16:04:54,0
0,229,743,743,138,0,0,0,0,0,1,1,1,1,2023-11-16 16:06:54,0
0,1,0,0,23,1,1,1,1,1,0,0,0,0,2023-11-16 16:08:54,0
0,220,743,743,138,2,1,1,1,1,1,1,1,1,2023-11-16 16:10:54,26
0,11,0,0,184,3,1,1,5,5,0,0,0,0,2023-11-16 16:12:54,9
0,1,0,0,23,1,0,0,1,1,0,1,0,0,2023-11-16 16:14:54,1
0,227,743,743,161,1,1,1,0,0,1,1,1,1,2023-11-16 16:16:54,0
0,4,0,0,46,0,0,0,1,1,0,0,0,0,2023-11-16 16:18:54,0
0,213,0,0,138,3,2,2,1,1,0,1,0,0,2023-11-16 16:20:54,1
0,18,743,743,161,2,1,1,1,1,1,0,1,1,2023-11-16 16:22:54,69
0,2,0,0,46,3,2,2,0,0,0,1,0,0,2023-11-16 16:24:54,74
0,227,743,743,115,0,0,0,0,0,1,1,1,1,2023-11-16 16:26:54,111
0,1,0,0,69,3,2,2,2,2,0,0,0,0,2023-11-16 16:28:54,118
0,217,743,743,207,0,0,0,0,0,1,0,1,1,2023-11-16 16:30:54,26
0,15,0,0,69,0,0,0,0,0,0,1,0,0,2023-11-16 16:32:54,0
0,1,0,0,69,1,2,2,1,1,0,1,0,0,2023-11-16 16:34:54,3
0,230,743,743,138,2,1,1,3,3,1,1,1,1,2023-11-16 16:36:54,0
0,1,0,0,46,0,0,0,0,0,0,0,0,0,2023-11-16 16:38:54,0
0,235,743,743,115,2,1,1,2,2,1,1,1,1,2023-11-16 16:40:54,26
0,11,0,0,184,0,0,0,0,0,0,0,0,0,2023-11-16 16:42:54,0
0,1,0,0,23,0,0,0,0,0,0,1,0,0,2023-11-16 16:44:54,0
0,229,743,743,161,3,1,1,3,3,1,1,1,1,2023-11-16 16:46:54,4
0,11,0,0,46,1,2,2,1,1,0,0,0,0,2023-11-16 16:48:54,0
0,219,0,0,138,1,1,1,1,1,0,1,0,0,2023-11-16 16:50:54,0
0,15,743,743,161,0,0,0,0,0,1,0,1,1,2023-11-16 16:52:54,66
0,2,0,0,46,5,1,1,3,3,0,1,0,0,2023-11-16 16:54:54,76
0,227,743,743,115,2,3,3,3,3,1,1,1,1,2023-11-16 16:56:54,187
0,1,0,0,69,3,1,1,2,2,0,0,0,0,2023-11-16 16:58:54,124
0,217,744,744,207,0,0,0,0,0,1,0,1,1,2023-11-16 17:00:54,28
0,16,0,0,92,3,1,1,0,0,0,1,0,0,2023-11-16 17:02:54,77
0,2,0,0,69,0,0,0,1,1,0,1,0,0,2023-11-16 17:04:54,4
0,228,744,744,138,0,0,0,0,0,1,1,1,1,2023-11-16 17:06:54,2
0,2,0,0,46,1,0,0,0,0,0,0,0,0,2023-11-16 17:08:54,1
0,219,0,0,92,1,1,1,1,1,0,1,0,0,2023-11-16 17:10:54,0
0,13,744,744,230,1,1,1,1,1,1,0,1,1,2023-11-16 17:12:54,28
0,2,0,0,23,1,0,0,0,0,0,1,0,0,2023-11-16 17:14:54,6
0,227,744,744,115,5,0,0,1,1,1,1,1,1,2023-11-16 17:16:54,6
0,2,0,0,69,4,2,2,1,1,0,0,0,0,2023-11-16 17:18:54,1
0,218,744,744,184,1,0,0,0,0,1,0,1,1,2023-11-16 17:20:54,35
0,18,0,0,115,2,4,4,3,3,0,1,0,0,2023-11-16 17:22:54,45
0,1,0,0,46,1,1,1,1,1,0,1,0,0,2023-11-16 17:24:54,77
0,227,744,744,161,1,0,0,0,0,1,1,1,1,2023-11-16 17:26:54,112
0,2,0,0,23,5,2,2,3,3,0,0,0,0,2023-11-16 17:28:54,119
0,220,0,0,92,1,0,0,1,1,0,1,0,0,2023-11-16 17:30:54,2
0,14,744,744,207,0,0,0,0,0,1,0,1,1,2023-11-16 17:32:54,27
0,4,0,0,46,6,1,1,2,2,0,1,0,0,2023-11-16 17:34:54,6
0,228,744,744,115,4,3,3,1,1,1,1,1,1,2023-11-16 17:36:54,4
0,71,0,0,69,6,1,1,1,1,0,0,0,0,2023-11-16 17:38:54,5
0,224,744,744,161,0,0,0,1,1,1,0,1,1,2023-11-16 17:40:54,28
0,7,0,0,138,0,0,0,0,0,0,1,0,0,2023-11-16 17:42:54,77
0,3,0,0,46,0,1,1,0,0,0,1,0,0,2023-11-16 17:44:54,0
0,227,744,744,138,4,0,0,1,1,1,1,1,1,2023-11-16 17:46:54,0
0,2,0,0,46,3,3,3,2,2,0,0,0,0,2023-11-16 17:48:54,0
0,217,0,0,138,4,3,3,1,1,0,0,0,0,2023-11-16 17:50:54,0
0,14,744,744,161,0,0,0,0,0,1,1,1,1,2023-11-16 17:52:54,66
0,1,0,0,69,1,2,2,1,1,0,1,0,0,2023-11-16 17:54:54,74
0,228,744,744,115,2,1,1,1,1,1,1,1,1,2023-11-16 17:56:54,110
0,3,0,0,46,2,5,5,3,3,0,0,0,0,2023-11-16 17:58:54,120
0,216,744,744,161,0,0,0,0,0,1,1,1,1,2023-11-16 18:00:54,894
0,16,0,0,161,3,1,1,1,1,0,0,0,0,2023-11-16 18:02:54,2
0,1,0,0,23,1,0,0,0,0,0,1,0,0,2023-11-16 18:04:54,8
0,227,744,744,161,1,0,0,1,1,1,1,1,1,2023-11-16 18:06:54,0
0,3,0,0,46,3,2,2,3,3,0,0,0,0,2023-11-16 18:08:54,2
0,215,0,0,184,5,0,0,2,2,0,0,0,0,2023-11-16 18:10:54,0
0,16,744,744,115,3,2,2,1,1,1,1,1,1,2023-11-16 18:12:54,28
0,1,0,0,69,9,1,1,2,2,0,1,0,0,2023-11-16 18:14:54,0
0,498,744,744,115,1,2,2,1,1,1,1,1,1,2023-11-16 18:16:54,3
0,1,0,0,23,2,0,0,2,2,0,0,0,0,2023-11-16 18:18:54,4
0,226,744,744,138,2,0,0,0,0,1,1,1,1,2023-11-16 18:20:54,27
0,5,0,0,184,0,0,0,0,0,0,0,0,0,2023-11-16 18:22:54,40
0,1,0,0,46,0,0,0,0,0,0,0,0,0,2023-11-16 18:24:54,77
0,227,744,744,138,1,1,1,1,1,1,2,1,1,2023-11-16 18:26:54,110
0,2,0,0,69,0,2,2,0,0,0,0,0,0,2023-11-16 18:28:54,118
0,202,0,0,161,0,0,0,0,0,0,0,0,0,2023-11-16 18:30:54,0
0,31,744,744,115,4,4,4,2,2,1,1,1,1,2023-11-16 18:32:54,28
0,1,0,0,46,2,0,0,2,2,0,0,0,0,2023-11-16 18:34:54,4
0,228,744,744,138,1,0,0,0,0,1,2,1,1,2023-11-16 18:36:54,0
0,1,0,0,23,0,0,0,0,0,0,0,0,0,2023-11-16 18:38:54,0
0,213,0,0,115,0,0,0,0,0,0,1,0,0,2023-11-16 18:40:54,0
0,17,744,744,230,0,0,0,0,0,1,0,1,1,2023-11-16 18:42:54,26
0,2,0,0,23,0,0,0,0,0,0,0,0,0,2023-11-16 18:44:54,0
0,227,744,744,138,1,1,1,1,1,1,2,1,1,2023-11-16 18:46:54,4
0,1,0,0,46,1,1,1,1,1,0,0,0,0,2023-11-16 18:48:54,0
0,217,744,744,207,1,2,2,1,1,1,0,1,1,2023-11-16 18:50:54,34
0,14,0,0,69,0,0,0,0,0,0,1,0,0,2023-11-16 18:52:54,40
0,1,0,0,69,0,0,0,0,0,0,0,0,0,2023-11-16 18:54:54,74
0,227,744,744,138,0,0,0,0,0,1,2,1,1,2023-11-16 18:56:54,110
0,3,0,0,46,0,0,0,0,0,0,0,0,0,2023-11-16 18:58:54,118
0,216,0,0,115,2,4,4,0,0,0,1,0,0,2023-11-16 19:00:54,0
0,17,744,744,230,0,0,0,1,1,1,0,1,1,2023-11-16 19:02:54,26
0,2,0,0,23,0,0,0,0,0,0,0,0,0,2023-11-16 19:04:54,0
0,227,744,744,115,0,0,0,0,0,1,2,1,1,2023-11-16 19:06:54,0
0,2,0,0,69,5,2,2,1,1,0,0,0,0,2023-11-16 19:08:54,0
0,202,744,744,184,0,0,0,0,0,1,0,1,1,2023-11-16 19:10:54,26
0,29,0,0,115,3,0,0,0,0,0,1,0,0,2023-11-16 19:12:54,3
0,1,0,0,46,0,0,0,0,0,0,0,0,0,2023-11-16 19:14:54,0
0,227,744,744,161,0,0,0,0,0,1,1,1,1,2023-11-16 19:16:54,0
0,2,0,0,23,0,0,0,0,0,0,0,0,0,2023-11-16 19:18:54,0
0,206,0,0,161,0,0,0,0,0,0,1,0,0,2023-11-16 19:20:54,0
0,26,744,744,138,0,0,0,0,0,1,0,1,1,2023-11-16 19:22:54,26
0,2,0,0,46,0,0,0,0,0,0,0,0,0,2023-11-16 19:24:54,0
0,227,744,744,115,1,2,2,1,1,1,2,1,1,2023-11-16 19:26:54,0
0,2,0,0,69,2,0,0,0,0,0,0,0,0,2023-11-16 19:28:54,0
0,209,744,744,161,1,0,0,2,2,1,0,1,1,2023-11-16 19:30:54,27
0,23,0,0,138,1,0,0,2,2,0,1,0,0,2023-11-16 19:32:54,2
0,1,0,0,46,1,1,1,0,0,0,0,0,0,2023-11-16 19:34:54,0
0,227,0,0,138,5,2,2,2,2,1,2,0,0,2023-11-16 19:36:54,8
0,2,0,0,46,0,1,1,0,0,0,0,0,0,2023-11-16 19:38:54,0
0,203,0,0,138,0,0,0,0,0,0,0,0,0,2023-11-16 19:40:54,0
0,28,0,0,161,0,0,0,0,0,1,1,0,0,2023-11-16 19:42:54,30
0,2,0,0,69,1,1,1,1,1,0,0,0,0,2023-11-16 19:44:54,4
0,228,0,0,115,1,2,2,0,0,1,2,0,0,2023-11-16 19:46:54,8
0,1,0,0,46,0,0,0,0,0,0,0,0,0,2023-11-16 19:48:54,18
0,209,744,744,138,2,3,3,2,2,1,1,1,1,2023-11-16 19:50:54,28
0,22,0,0,161,0,0,0,0,0,0,0,0,0,2023-11-16 19:52:54,0
0,3,0,0,23,0,0,0,0,0,0,0,0,0,2023-11-16 19:54:54,2
0,227,744,744,161,0,0,0,0,0,1,2,1,1,2023-11-16 19:56:54,2
0,2,0,0,46,0,2,2,0,0,0,0,0,0,2023-11-16 19:58:54,28
0,219,0,0,184,0,0,0,0,0,0,0,0,0,2023-11-16 20:00:54,4
0,13,0,0,138,0,0,0,0,0,1,1,0,0,2023-11-16 20:02:54,32
0,1,0,0,69,0,0,0,0,0,0,0,0,0,2023-11-16 20:04:54,2
0,228,744,744,115,0,0,0,0,0,1,2,1,1,2023-11-16 20:06:54,2
0,1,0,0,23,0,0,0,0,0,0,0,0,0,2023-11-16 20:08:54,0
0,214,0,0,138,0,0,0,0,0,0,1,0,0,2023-11-16 20:10:54,26
0,17,0,0,184,0,0,0,0,0,1,0,0,0,2023-11-16 20:12:54,6
0,1,0,0,46,0,0,0,0,0,0,0,0,0,2023-11-16 20:14:54,0
0,227,0,0,138,1,2,2,0,0,1,2,0,0,2023-11-16 20:16:54,12
0,1,0,0,69,1,1,1,1,1,0,0,0,0,2023-11-16 20:18:54,0
0,215,0,0,184,0,0,0,0,0,0,0,0,0,2023-11-16 20:20:54,26
0,16,0,0,92,0,0,0,0,0,1,1,0,0,2023-11-16 20:22:54,4
0,1,0,0,46,0,0,0,0,0,0,0,0,0,2023-11-16 20:24:54,0
0,228,0,0,138,0,0,0,0,0,1,2,0,0,2023-11-16 20:26:54,4
0,2,0,0,23,0,0,0,0,0,0,0,0,0,2023-11-16 20:28:54,0
0,215,0,0,115,2,3,3,2,2,0,1,0,0,2023-11-16 20:30:54,0
0,16,744,744,230,2,0,0,1,1,1,0,1,1,2023-11-16 20:32:54,28
0,2,0,0,23,0,0,0,0,0,0,0,0,0,2023-11-16 20:34:54,0
0,227,744,744,138,0,0,0,0,0,1,1,1,1,2023-11-16 20:36:54,0
0,1,0,0,46,0,0,0,0,0,0,1,0,0,2023-11-16 20:38:54,0
0,216,744,744,207,2,0,0,1,1,1,0,1,1,2023-11-16 20:40:54,26
0,15,0,0,69,1,0,0,0,0,0,1,0,0,2023-11-16 20:42:54,0
0,1,0,0,69,0,2,2,2,2,0,0,0,0,2023-11-16 20:44:54,2
0,227,0,0,161,0,0,0,0,0,1,1,0,0,2023-11-16 20:46:54,10
0,2,0,0,23,0,0,0,0,0,0,1,0,0,2023-11-16 20:48:54,0
0,214,0,0,115,0,0,0,0,0,0,1,0,0,2023-11-16 20:50:54,0
0,16,744,744,184,0,0,0,0,0,1,0,1,1,2023-11-16 20:52:54,26
0,5,0,0,46,0,0,0,0,0,0,0,0,0,2023-11-16 20:54:54,6
0,230,744,744,115,0,0,0,0,0,1,1,1,1,2023-11-16 20:56:54,0
0,4,0,0,69,0,1,1,0,0,0,1,0,0,2023-11-16 20:58:54,2
0,210,744,744,138,0,0,0,0,0,1,0,1,1,2023-11-16 21:00:54,893
0,22,0,0,184,0,0,0,0,0,0,1,0,0,2023-11-16 21:02:54,0
0,1,0,0,46,0,0,0,0,0,0,0,0,0,2023-11-16 21:04:54,0
0,227,744,744,161,0,0,0,0,0,1,1,1,1,2023-11-16 21:06:54,0
0,2,0,0,23,0,1,1,0,0,0,1,0,0,2023-11-16 21:08:54,0
0,215,0,0,138,0,0,0,0,0,0,1,0,0,2023-11-16 21:10:54,0
0,15,0,0,161,0,0,0,0,0,1,0,0,0,2023-11-16 21:12:54,32
0,2,0,0,46,0,2,2,0,0,0,0,0,0,2023-11-16 21:14:54,0
0,229,744,744,138,0,0,0,0,0,1,1,1,1,2023-11-16 21:16:54,0
0,1,0,0,46,0,0,0,0,0,0,1,0,0,2023-11-16 21:18:54,0
0,205,0,0,161,0,0,0,0,0,1,0,0,0,2023-11-16 21:20:54,30
0,30,0,0,138,0,0,0,0,0,0,1,0,0,2023-11-16 21:22:54,0
0,5,0,0,23,0,0,0,0,0,0,0,0,0,2023-11-16 21:24:54,0
0,227,744,744,161,0,0,0,0,0,1,1,1,1,2023-11-16 21:26:54,0
0,2,0,0,46,0,0,0,0,0,0,1,0,0,2023-11-16 21:28:54,0
0,205,0,0,161,0,1,1,0,0,0,0,0,0,2023-11-16 21:30:54,0
0,26,744,744,138,1,0,0,0,0,1,1,1,1,2023-11-16 21:32:54,26
0,1,0,0,69,0,0,0,0,0,0,0,0,0,2023-11-16 21:34:54,0
0,230,744,744,115,0,0,0,0,0,1,1,1,1,2023-11-16 21:36:54,0
0,1,0,0,46,3,0,0,0,0,0,1,0,0,2023-11-16 21:38:54,0
0,214,745,745,115,0,0,0,0,0,1,1,1,1,2023-11-16 21:40:54,26
0,17,0,0,184,1,0,0,0,0,0,0,0,0,2023-11-16 21:42:54,0
0,1,0,0,23,0,0,0,0,0,0,0,0,0,2023-11-16 21:44:54,0
0,227,745,745,161,3,3,3,1,1,1,1,1,1,2023-11-16 21:46:54,0
0,1,0,0,69,0,0,0,2,2,0,1,0,0,2023-11-16 21:48:54,6
0,206,0,0,161,0,0,0,0,0,0,0,0,0,2023-11-16 21:50:54,0
0,25,745,745,115,0,0,0,0,0,1,1,1,1,2023-11-16 21:52:54,27
0,1,0,0,69,0,0,0,0,0,0,0,0,0,2023-11-16 21:54:54,0
0,228,745,745,115,2,0,0,0,0,1,1,1,1,2023-11-16 21:56:54,0
0,1,0,0,23,1,1,1,1,1,0,1,0,0,2023-11-16 21:58:54,0
0,213,0,0,161,0,0,0,0,0,0,1,0,0,2023-11-16 22:00:54,26
0,18,0,0,184,3,0,0,0,0,1,0,0,0,2023-11-16 22:02:54,6
0,2,0,0,46,0,3,3,2,2,0,0,0,0,2023-11-16 22:04:54,0
0,228,0,0,138,0,0,0,0,0,1,1,0,0,2023-11-16 22:06:54,4
0,1,0,0,69,1,2,2,1,1,0,1,0,0,2023-11-16 22:08:54,8
0,200,745,745,184,0,0,0,0,0,1,0,1,1,2023-11-16 22:10:54,26
0,31,0,0,69,1,1,1,1,1,0,1,0,0,2023-11-16 22:12:54,0
0,1,0,0,69,1,1,1,1,1,0,0,0,0,2023-11-16 22:14:54,0
0,228,0,0,138,2,0,0,1,1,1,1,0,0,2023-11-16 22:16:54,4
0,1,0,0,46,0,0,0,0,0,0,1,0,0,2023-11-16 22:18:54,0
0,215,0,0,92,0,0,0,0,0,0,1,0,0,2023-11-16 22:20:54,2
0,15,745,745,230,0,0,0,0,0,1,0,1,1,2023-11-16 22:22:54,26
0,2,0,0,23,0,0,0,0,0,0,0,0,0,2023-11-16 22:24:54,0
0,227,745,745,115,0,0,0,0,0,1,1,1,1,2023-11-16 22:26:54,0
0,1,0,0,69,3,2,2,0,0,0,1,0,0,2023-11-16 22:28:54,1
0,221,745,745,207,3,3,3,3,3,1,0,1,1,2023-11-16 22:30:54,30
0,11,0,0,69,1,0,0,0,0,0,1,0,0,2023-11-16 22:32:54,0
0,3,0,0,69,0,0,0,1,1,0,0,0,0,2023-11-16 22:34:54,4
0,227,745,745,161,1,0,0,0,0,1,1,1,1,2023-11-16 22:36:54,0
0,2,0,0,23,1,1,1,1,1,0,1,0,0,2023-11-16 22:38:54,0
0,216,0,0,115,0,0,0,0,0,0,1,0,0,2023-11-16 22:40:54,0
0,14,745,745,184,0,1,1,1,1,1,0,1,1,2023-11-16 22:42:54,26
0,2,0,0,46,0,0,0,0,0,0,0,0,0,2023-11-16 22:44:54,0
0,229,745,745,115,1,1,1,1,1,1,1,1,1,2023-11-16 22:46:54,0
0,1,0,0,69,0,0,0,0,0,0,1,0,0,2023-11-16 22:48:54,0
0,216,745,745,138,3,1,1,2,2,1,0,1,1,2023-11-16 22:50:54,26
0,15,0,0,161,3,1,1,1,1,0,1,0,0,2023-11-16 22:52:54,0
0,1,0,0,46,1,1,1,1,1,0,0,0,0,2023-11-16 22:54:54,4
0,227,745,745,161,2,1,1,0,0,1,1,1,1,2023-11-16 22:56:54,0
0,2,0,0,23,0,2,2,2,2,0,1,0,0,2023-11-16 22:58:54,0
0,202,0,0,161,0,0,0,0,0,0,1,0,0,2023-11-16 23:00:54,0
0,29,745,745,161,3,0,0,0,0,1,0,1,1,2023-11-16 23:02:54,26
0,3,0,0,46,0,0,0,0,0,0,0,0,0,2023-11-16 23:04:54,0
0,227,0,0,138,0,0,0,0,0,1,1,0,0,2023-11-16 23:06:54,4
0,1,0,0,46,1,2,2,1,1,0,1,0,0,2023-11-16 23:08:54,0
0,192,745,745,161,7,0,0,0,0,1,0,1,1,2023-11-16 23:10:54,26
0,39,0,0,138,0,2,2,1,1,0,1,0,0,2023-11-16 23:12:54,0
0,1,0,0,23,0,0,0,0,0,0,0,0,0,2023-11-16 23:14:54,0
0,227,745,745,161,0,0,0,0,0,1,1,1,1,2023-11-16 23:16:54,0
0,2,0,0,46,0,0,0,0,0,0,1,0,0,2023-11-16 23:18:54,0
