pageResource all api not hava log,the employee does not exist,not find dictionary type=<:NUM:>,[isEqualDirectSuperior] fanwei Employee not exist in yid,"isEqualDirectSuperior failed, err=fanweiEmployee not exist in yid",AuthSessionVali<:updateFanweiEmployee failed:>,[GetWeChatUserInfo] GetWeChatUserInf<:updateFanweiEmployee failed:>,[getOtpKey] GetWeChatUserInf<:updateFanweiEmployee failed:>,"[securitySessionCheck] GetSecuritySessionFromReq failed, err=securecookie: expired timestamp [trace.id=<:SEQ:> <:transactionID:> <:spanID:>",[securitySessionCheck] CreatAndSaveSessio<:updateFanweiEmployee failed:>,"[SimplePost] failed, <:ERRORPost:>",[UpdateEmployee] <:*:> failed:>,can't find addEmp from updateEmp and empMapTo,"[updateFanweiEmployee] failed, <:updateEmployeeData:>",no employee,timestamp,unknown
0,6,138,1334,1334,0,0,0,0,0,2,2,4,2,0,2023-10-19 20:53:18,50
0,446,138,0,0,2,0,0,2,2,0,0,0,0,0,2023-10-19 20:55:18,0
0,4,230,1334,1334,2,0,0,2,2,2,2,0,2,2,2023-10-19 20:57:18,0
0,992,138,0,0,2,0,0,2,2,0,0,0,0,2,2023-10-19 20:59:18,0
0,1072,460,0,0,0,4,4,0,0,0,0,4,0,2,2023-10-19 21:01:18,1616
0,848,92,1334,1334,0,4,4,0,0,2,2,0,2,0,2023-10-19 21:03:18,0
0,1268,184,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-19 21:05:18,0
0,834,276,1334,1334,2,2,2,2,2,2,2,0,2,2,2023-10-19 21:07:18,0
0,448,92,0,0,2,0,0,2,2,0,0,0,0,2,2023-10-19 21:09:18,0
0,224,322,1334,1334,0,0,0,0,0,2,2,4,2,2,2023-10-19 21:11:18,54
0,6,230,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-19 21:13:18,0
0,440,138,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-19 21:15:18,0
0,8,276,1334,1334,2,2,2,2,2,2,2,0,2,2,2023-10-19 21:17:18,0
0,218,46,0,0,0,0,0,0,0,0,0,0,0,2,2023-10-19 21:19:18,0
0,232,414,1334,1334,0,0,0,0,0,2,2,4,2,2,2023-10-19 21:21:18,50
0,8,230,0,0,2,4,4,2,2,0,0,0,0,0,2023-10-19 21:23:18,8
0,440,92,0,0,2,0,0,0,0,0,0,0,0,0,2023-10-19 21:25:18,0
0,8,276,1334,1334,0,2,2,2,2,2,2,0,2,2,2023-10-19 21:27:18,0
0,234,46,0,0,0,0,0,0,0,0,0,0,0,2,2023-10-19 21:29:18,0
0,222,506,1334,1334,0,0,0,0,0,2,2,4,2,2,2023-10-19 21:31:18,50
0,8,138,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-19 21:33:18,0
0,440,92,0,0,4,2,2,2,2,0,0,0,0,0,2023-10-19 21:35:18,0
0,4,276,1334,1334,0,0,0,0,0,2,2,0,2,2,2023-10-19 21:37:18,0
0,222,92,0,0,0,0,0,0,0,0,0,0,0,2,2023-10-19 21:39:18,0
0,230,414,1334,1334,0,0,0,0,0,2,2,4,2,0,2023-10-19 21:41:18,50
0,4,184,0,0,4,6,6,2,2,0,0,0,0,2,2023-10-19 21:43:18,0
0,446,0,0,0,4,2,2,0,0,0,0,0,0,0,2023-10-19 21:45:18,0
0,8,368,1334,1334,2,4,4,0,0,2,2,0,2,2,2023-10-19 21:47:18,8
0,226,92,0,0,2,4,4,2,2,0,0,0,0,2,2023-10-19 21:49:18,0
0,228,368,1334,1334,2,2,2,2,2,2,2,4,2,0,2023-10-19 21:51:18,50
0,4,230,0,0,10,4,4,2,2,0,0,0,0,2,2023-10-19 21:53:18,0
0,444,92,1334,1334,2,4,4,8,8,2,2,0,2,0,2023-10-19 21:55:18,4
0,6,276,0,0,2,0,0,2,2,0,0,0,0,2,2023-10-19 21:57:18,0
0,1006,92,0,0,10,6,6,6,6,0,0,0,0,2,2023-10-19 21:59:18,0
0,1056,368,1334,1334,6,4,4,0,0,2,2,4,2,0,2023-10-19 22:01:18,50
0,824,276,0,0,2,2,2,6,6,0,0,0,0,2,2023-10-19 22:03:18,0
0,1272,138,1256,1254,6,2,2,2,2,0,0,0,0,0,2023-10-19 22:05:18,8
0,826,230,78,80,0,0,0,0,0,2,2,0,2,2,2023-10-19 22:07:18,0
0,480,92,0,0,4,2,2,2,2,0,0,0,0,2,2023-10-19 22:09:18,0
0,216,414,1334,1334,4,4,4,2,2,2,2,4,2,2,2023-10-19 22:11:18,50
0,14,184,0,0,0,4,4,2,2,0,0,0,0,0,2023-10-19 22:13:18,0
0,438,92,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-19 22:15:18,0
0,8,230,1334,1334,2,2,2,4,4,2,2,0,2,2,2023-10-19 22:17:18,6
0,230,138,0,0,0,0,0,0,0,0,0,0,0,2,2023-10-19 22:19:18,0
0,218,506,1334,1334,0,0,0,0,0,0,0,4,0,2,2023-10-19 22:21:18,50
0,10,92,0,0,8,2,2,2,2,2,2,0,2,0,2023-10-19 22:23:18,8
0,442,184,0,0,6,8,8,4,4,0,0,0,0,0,2023-10-19 22:25:18,16
0,2,92,1334,1334,2,0,0,2,2,2,2,0,2,2,2023-10-19 22:27:18,2
0,234,184,0,0,0,0,0,0,0,0,0,0,0,2,2023-10-19 22:29:18,0
0,222,368,0,0,0,0,0,0,0,0,0,0,0,2,2023-10-19 22:31:18,0
0,2,230,1334,1334,0,0,0,0,0,2,2,4,2,0,2023-10-19 22:33:18,50
0,446,92,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-19 22:35:18,0
0,4,230,1334,1334,2,0,0,0,0,2,2,0,2,2,2023-10-19 22:37:18,0
0,224,138,0,0,2,2,2,2,2,0,0,0,0,2,2023-10-19 22:39:18,0
0,228,368,0,0,0,0,0,0,0,0,0,0,0,2,2023-10-19 22:41:18,0
0,6,138,1334,1334,0,0,0,0,0,2,2,4,2,0,2023-10-19 22:43:18,50
0,444,184,0,0,0,2,2,0,0,0,0,0,0,0,2023-10-19 22:45:18,0
0,6,276,1334,1334,0,0,0,0,0,2,2,0,2,2,2023-10-19 22:47:18,0
0,226,92,0,0,4,2,2,4,4,0,0,0,0,2,2023-10-19 22:49:18,0
0,224,368,1334,1334,2,4,4,2,2,2,2,4,2,2,2023-10-19 22:51:18,66
0,8,184,0,0,4,2,2,2,2,0,0,0,0,0,2023-10-19 22:53:18,0
0,438,138,0,0,2,2,2,2,2,0,0,0,0,2,2023-10-19 22:55:18,0
0,12,276,1334,1334,6,2,2,6,6,2,2,0,2,0,2023-10-19 22:57:18,4
0,1000,46,0,0,0,4,4,0,0,0,0,0,0,2,2023-10-19 22:59:18,0
0,1082,460,1334,1334,2,2,2,0,0,2,2,4,2,2,2023-10-19 23:01:18,50
0,848,230,0,0,0,0,0,2,2,0,0,0,0,0,2023-10-19 23:03:18,0
0,1284,92,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-19 23:05:18,0
0,882,276,1334,1334,0,0,0,0,0,2,2,0,2,2,2023-10-19 23:07:18,0
0,330,0,0,0,2,2,2,2,2,0,0,0,0,0,2023-10-19 23:09:18,0
0,256,552,1334,1334,0,0,0,0,0,2,2,4,2,4,2023-10-19 23:11:18,50
0,10,138,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-19 23:13:18,4
0,440,138,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-19 23:15:18,0
0,2,230,1334,1334,0,0,0,0,0,2,2,0,2,2,2023-10-19 23:17:18,0
0,226,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-19 23:19:18,0
0,230,506,1334,1334,0,0,0,0,0,2,2,4,2,2,2023-10-19 23:21:18,50
0,10,138,0,0,4,4,4,2,2,0,0,0,0,2,2023-10-19 23:23:18,0
0,440,0,0,0,2,4,4,0,0,0,0,0,0,0,2023-10-19 23:25:18,0
0,4,368,1334,1334,2,2,2,6,6,2,2,0,2,2,2023-10-19 23:27:18,4
0,178,92,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-19 23:29:18,0
0,280,506,1334,1334,2,2,2,2,2,2,2,4,2,2,2023-10-19 23:31:18,50
0,2,138,0,0,6,0,0,2,2,0,0,0,0,2,2023-10-19 23:33:18,0
0,446,46,0,0,0,2,2,2,2,0,0,0,0,0,2023-10-19 23:35:18,0
0,4,322,1334,1334,0,0,0,0,0,2,2,0,2,2,2023-10-19 23:37:18,0
0,218,92,0,0,2,4,4,2,2,0,0,0,0,0,2023-10-19 23:39:18,0
0,236,368,1334,1334,2,2,2,2,2,2,2,4,2,2,2023-10-19 23:41:18,50
0,2,230,0,0,2,0,0,0,0,0,0,0,0,2,2023-10-19 23:43:18,0
0,446,138,1334,1334,2,2,2,2,2,0,0,0,0,0,2023-10-19 23:45:18,8
0,4,230,0,0,2,0,0,0,0,2,2,0,2,2,2023-10-19 23:47:18,0
0,224,92,0,0,2,0,0,2,2,0,0,0,0,0,2023-10-19 23:49:18,4
0,228,322,1334,1334,0,0,0,2,2,2,2,4,2,4,2023-10-19 23:51:18,50
0,6,276,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-19 23:53:18,0
0,440,92,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-19 23:55:18,0
0,8,230,1334,1334,2,4,4,2,2,2,2,0,2,2,2023-10-19 23:57:18,0
0,992,138,0,0,2,2,2,0,0,0,0,0,0,0,2023-10-19 23:59:18,0
0,1214,460,1334,1334,2,0,0,0,0,2,2,4,2,4,2023-10-20 00:01:18,1610
0,846,184,0,0,2,4,4,4,4,0,0,0,0,0,2023-10-20 00:03:18,0
0,1290,184,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 00:05:18,0
0,872,92,1334,1334,0,0,0,0,0,2,2,0,2,2,2023-10-20 00:07:18,0
0,374,184,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 00:09:18,0
0,228,414,1200,1198,0,0,0,0,0,0,0,0,0,4,2023-10-20 00:11:18,0
0,8,184,134,136,34,0,0,0,0,2,2,4,2,0,2023-10-20 00:13:18,50
0,442,92,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 00:15:18,4
0,4,230,1334,1334,0,0,0,0,0,2,2,0,2,2,2023-10-20 00:17:18,16
0,222,138,0,0,4,4,4,0,0,0,0,0,0,0,2023-10-20 00:19:18,4
0,234,368,0,0,0,0,0,2,2,0,0,0,0,4,2023-10-20 00:21:18,0
0,2,184,1334,1334,0,0,0,0,0,2,2,4,2,0,2023-10-20 00:23:18,50
0,446,138,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 00:25:18,0
0,4,276,1334,1334,0,0,0,0,0,2,2,0,2,2,2023-10-20 00:27:18,0
0,224,92,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 00:29:18,0
0,230,414,0,0,0,0,0,0,0,0,0,4,0,4,2023-10-20 00:31:18,50
0,4,92,1334,1334,2,0,0,2,2,2,2,0,2,0,2023-10-20 00:33:18,0
0,444,184,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 00:35:18,0
0,6,276,1334,1334,0,0,0,0,0,2,2,0,2,2,2023-10-20 00:37:18,0
0,192,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 00:39:18,0
0,256,414,1334,1334,0,0,0,0,0,2,2,4,2,4,2023-10-20 00:41:18,50
0,8,184,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 00:43:18,0
0,438,138,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 00:45:18,0
0,12,276,1334,1334,0,0,0,0,0,2,2,0,2,2,2023-10-20 00:47:18,0
0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 00:49:18,0
0,270,460,1334,1334,0,0,0,0,0,2,2,4,2,4,2023-10-20 00:51:18,50
0,6,230,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 00:53:18,0
0,438,138,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 00:55:18,0
0,8,230,1334,1334,0,0,0,0,0,2,2,0,2,2,2023-10-20 00:57:18,0
0,1008,46,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 00:59:18,0
0,1040,552,1334,1334,0,0,0,0,0,2,2,4,2,4,2023-10-20 01:01:18,50
0,854,138,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 01:03:18,0
0,1274,92,0,0,2,0,0,2,2,0,0,0,0,0,2023-10-20 01:05:18,0
0,860,276,1334,1334,0,0,0,0,0,2,2,0,2,2,2023-10-20 01:07:18,0
0,388,92,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 01:09:18,0
0,262,414,1334,1334,0,0,0,0,0,2,2,4,2,2,2023-10-20 01:11:18,50
0,8,184,0,0,0,0,0,0,0,0,0,0,0,2,2023-10-20 01:13:18,4
0,442,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 01:15:18,0
0,2,368,1334,1334,0,0,0,0,0,2,2,0,2,2,2023-10-20 01:17:18,0
0,200,92,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 01:19:18,0
0,256,368,1334,1334,0,0,0,0,0,2,2,4,2,2,2023-10-20 01:21:18,50
0,2,230,0,0,0,0,0,0,0,0,0,0,0,2,2023-10-20 01:23:18,0
0,446,92,1334,1334,0,0,0,0,0,2,2,0,2,0,2023-10-20 01:25:18,0
0,4,276,0,0,2,2,2,0,0,0,0,0,0,2,2023-10-20 01:27:18,0
0,198,92,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 01:29:18,0
0,256,322,1334,1334,0,0,0,0,0,2,2,4,2,4,2023-10-20 01:31:18,50
0,4,276,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 01:33:18,0
0,446,138,430,430,0,0,0,0,0,0,0,0,0,0,2023-10-20 01:35:18,0
0,4,230,904,904,0,0,0,0,0,2,2,0,2,2,2023-10-20 01:37:18,0
0,216,92,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 01:39:18,0
0,234,414,1334,1334,0,0,0,0,0,2,2,4,2,4,2023-10-20 01:41:18,50
0,6,184,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 01:43:18,0
0,440,184,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 01:45:18,0
0,8,138,1334,1334,0,0,0,0,0,2,2,0,2,2,2023-10-20 01:47:18,0
0,182,138,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 01:49:18,0
0,268,460,1334,1334,0,0,0,0,0,0,0,0,0,4,2023-10-20 01:51:18,0
0,10,138,0,0,0,0,0,0,0,2,2,4,2,0,2023-10-20 01:53:18,50
0,438,92,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 01:55:18,0
0,10,184,1334,1334,2,0,0,0,0,2,2,0,2,2,2023-10-20 01:57:18,8
0,974,184,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 01:59:18,0
0,1094,460,0,0,0,0,0,0,0,0,0,0,0,4,2023-10-20 02:01:18,0
0,844,138,1334,1334,0,0,0,0,0,2,2,4,2,0,2023-10-20 02:03:18,50
0,1274,138,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 02:05:18,0
0,864,230,1334,1334,0,0,0,0,0,2,2,0,2,2,2023-10-20 02:07:18,0
0,414,138,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 02:09:18,0
0,230,414,0,0,0,0,0,0,0,0,0,4,0,4,2023-10-20 02:11:18,50
0,4,92,1334,1334,0,0,0,0,0,2,2,0,2,0,2023-10-20 02:13:18,0
0,446,184,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 02:15:18,0
0,4,276,1334,1334,0,0,0,0,0,2,2,0,2,2,2023-10-20 02:17:18,0
0,220,92,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 02:19:18,0
0,232,322,1334,1334,0,0,0,0,0,2,2,4,2,4,2023-10-20 02:21:18,50
0,6,230,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 02:23:18,0
0,444,138,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 02:25:18,0
0,6,276,1334,1334,0,0,0,0,0,2,2,0,2,2,2023-10-20 02:27:18,0
0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 02:29:18,0
0,236,460,1334,1334,0,0,0,0,0,2,2,4,2,4,2023-10-20 02:31:18,50
0,6,230,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 02:33:18,0
0,438,92,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 02:35:18,0
0,12,276,1334,1334,0,0,0,0,0,2,2,0,2,2,2023-10-20 02:37:18,0
0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-20 02:39:18,0
0,252,552,1334,1334,0,0,0,0,0,2,2,4,2,4,2023-10-20 02:41:18,50
