[isEqualDirectSuperior] fanwei Employee not exist in yid,"isEqualDirectSuperior failed, err=fanweiEmployee not exist in yid",the employee does not exist,not find dictionary type=<:NUM:>,AuthSessionVali<:updateFanweiEmployee failed:>,"[securitySessionCheck] GetSecuritySessionFromReq failed, err=securecookie: expired timestamp [trace.id=<:SEQ:> <:transactionID:> <:spanID:>",[securitySessionCheck] CreatAndSaveSessio<:updateFanweiEmployee failed:>,[getOtpKey] <:*:> failed:>,[GetWeChatUserInfo] GetWeChatUserInf<:updateFanweiEmployee failed:>,sync <:*:>,"[SimplePost] failed, <:ERRORPost:>",no employee,[UpdateEmployee] <:SimplePos<:updateFanweiEmployee failed:>,"[updateFanweiEmployee] failed, <:updateEmployeeData:>",<:SimplePos<:updateFanweiEmployee failed:>,can't find addEmp from updateEmp and empMapTo,timestamp,unknown
995,995,951,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-14 00:17:22,22
0,0,947,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 00:19:22,0
995,995,1007,207,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-14 00:21:22,24
0,0,958,115,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 00:23:22,2
0,0,1008,46,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-14 00:25:22,0
995,995,954,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-14 00:27:22,0
0,0,947,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 00:29:22,0
995,995,1011,184,0,0,0,0,0,1,1,0,1,1,1,1,2024-04-14 00:31:22,24
0,0,1018,138,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-14 00:33:22,2
995,995,1002,92,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-14 00:35:22,0
0,0,956,92,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-14 00:37:22,0
0,0,945,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 00:39:22,0
995,995,1001,230,0,0,0,0,0,1,1,0,1,1,1,1,2024-04-14 00:41:22,26
0,0,1030,92,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-14 00:43:22,0
0,0,992,46,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-14 00:45:22,0
995,995,967,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-14 00:47:22,0
0,0,947,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 00:49:22,0
995,995,1013,230,0,0,0,0,0,1,1,0,1,1,1,1,2024-04-14 00:51:22,26
0,0,952,92,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-14 00:53:22,0
0,0,979,23,0,0,0,0,0,0,0,2,0,0,0,0,2024-04-14 00:55:22,0
995,995,981,138,0,0,0,0,0,0,1,0,1,1,1,0,2024-04-14 00:57:22,0
0,0,946,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 00:59:22,0
995,995,969,207,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-14 01:01:22,26
0,0,1059,115,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 01:03:22,0
0,0,992,46,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-14 01:05:22,3
995,995,951,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-14 01:07:22,0
0,0,900,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 01:09:22,0
995,995,988,253,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-14 01:11:22,24
0,0,1071,92,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 01:13:22,2
0,0,1012,46,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-14 01:15:22,0
995,995,935,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-14 01:17:22,0
0,0,962,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 01:19:22,0
995,995,999,230,0,0,0,0,0,1,1,0,1,1,1,1,2024-04-14 01:21:22,26
0,0,978,92,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-14 01:23:22,0
0,0,988,69,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-14 01:25:22,0
995,995,957,115,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-14 01:27:22,0
0,0,939,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 01:29:22,0
995,995,1018,253,0,0,0,0,0,1,1,0,1,1,1,1,2024-04-14 01:31:22,26
0,0,999,69,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-14 01:33:22,0
995,995,1027,69,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-14 01:35:22,0
0,0,955,115,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-14 01:37:22,0
0,0,875,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 01:39:22,0
995,995,981,207,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-14 01:41:22,26
0,0,1049,92,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 01:43:22,0
0,0,992,46,0,0,0,0,0,0,0,2,0,0,0,0,2024-04-14 01:45:22,0
995,995,920,138,0,0,0,0,0,0,1,0,1,1,1,0,2024-04-14 01:47:22,0
0,0,938,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 01:49:22,0
995,995,1004,207,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-14 01:51:22,26
0,0,1003,115,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 01:53:22,0
0,0,1010,92,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-14 01:55:22,0
995,995,967,92,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-14 01:57:22,0
0,0,951,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 01:59:22,0
995,995,1013,230,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-14 02:01:22,24
0,0,1008,115,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 02:03:22,4
0,0,1021,46,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-14 02:05:22,0
995,995,942,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-14 02:07:22,0
0,0,963,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 02:09:22,0
995,995,1005,230,0,0,0,0,0,1,1,0,1,1,1,1,2024-04-14 02:11:22,26
0,0,1014,92,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-14 02:13:22,0
0,0,1002,46,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-14 02:15:22,0
995,995,973,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-14 02:17:22,0
0,0,956,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 02:19:22,0
995,995,997,230,0,0,0,0,0,1,0,0,0,0,0,1,2024-04-14 02:21:22,29
0,0,1015,92,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-14 02:23:22,0
995,995,999,69,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-14 02:25:22,0
0,0,963,115,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-14 02:27:22,0
0,0,930,23,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 02:29:22,0
995,995,1002,207,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-14 02:31:22,26
0,0,1055,115,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 02:33:22,0
0,0,1000,46,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-14 02:35:22,0
995,995,945,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-14 02:37:22,0
0,0,951,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 02:39:22,0
