<:OVERLAP:>,ExecShAndOutput <:*:> cmd return code is <:*:>,timestamp,unknown
0,0,2023-08-07 20:50:37,0
0,0,2023-08-07 20:52:37,1
0,1,2023-08-07 20:54:37,0
0,0,2023-08-07 20:56:37,0
0,0,2023-08-07 20:58:37,22
0,0,2023-08-07 21:00:37,0
0,2,2023-08-07 21:02:37,0
1,0,2023-08-07 21:04:37,0
0,1,2023-08-07 21:06:37,0
0,0,2023-08-07 21:08:37,0
0,0,2023-08-07 21:10:37,0
0,1,2023-08-07 21:12:37,0
3,2,2023-08-07 21:14:37,0
0,0,2023-08-07 21:16:37,0
0,2,2023-08-07 21:18:37,2
0,4,2023-08-07 21:20:37,4
0,2,2023-08-07 21:22:37,4
0,1,2023-08-07 21:24:37,0
0,0,2023-08-07 21:26:37,0
0,0,2023-08-07 21:28:37,0
0,1,2023-08-07 21:30:37,0
0,0,2023-08-07 21:32:37,46
0,0,2023-08-07 21:34:37,0
0,0,2023-08-07 21:36:37,1
22,0,2023-08-07 21:38:37,27
0,0,2023-08-07 21:40:37,3
0,0,2023-08-07 21:42:37,1
0,0,2023-08-07 21:44:37,0
0,0,2023-08-07 21:46:37,0
0,0,2023-08-07 21:48:37,0
0,0,2023-08-07 21:50:37,0
0,0,2023-08-07 21:52:37,0
0,1,2023-08-07 21:54:37,0
0,0,2023-08-07 21:56:37,0
0,0,2023-08-07 21:58:37,0
2,0,2023-08-07 22:00:37,0
0,0,2023-08-07 22:02:37,0
0,0,2023-08-07 22:04:37,0
0,0,2023-08-07 22:06:37,0
0,0,2023-08-07 22:08:37,0
0,0,2023-08-07 22:10:37,0
0,0,2023-08-07 22:12:37,0
0,0,2023-08-07 22:14:37,0
0,1,2023-08-07 22:16:37,0
0,0,2023-08-07 22:18:37,0
0,0,2023-08-07 22:20:37,6
0,0,2023-08-07 22:22:37,0
0,0,2023-08-07 22:24:37,0
0,0,2023-08-07 22:26:37,0
0,0,2023-08-07 22:28:37,0
0,0,2023-08-07 22:30:37,0
0,0,2023-08-07 22:32:37,0
0,0,2023-08-07 22:34:37,0
0,1,2023-08-07 22:36:37,0
0,1,2023-08-07 22:38:37,0
0,0,2023-08-07 22:40:37,0
1,0,2023-08-07 22:42:37,0
0,0,2023-08-07 22:44:37,0
0,0,2023-08-07 22:46:37,0
0,0,2023-08-07 22:48:37,0
0,0,2023-08-07 22:50:37,0
0,0,2023-08-07 22:52:37,0
0,0,2023-08-07 22:54:37,0
0,0,2023-08-07 22:56:37,0
0,0,2023-08-07 22:58:37,0
0,0,2023-08-07 23:00:37,0
0,1,2023-08-07 23:02:37,0
0,0,2023-08-07 23:04:37,0
0,0,2023-08-07 23:06:37,0
0,0,2023-08-07 23:08:37,0
0,0,2023-08-07 23:10:37,0
0,1,2023-08-07 23:12:37,0
0,0,2023-08-07 23:14:37,0
0,0,2023-08-07 23:16:37,0
0,0,2023-08-07 23:18:37,0
0,0,2023-08-07 23:20:37,0
0,0,2023-08-07 23:22:37,0
0,0,2023-08-07 23:24:37,0
0,0,2023-08-07 23:26:37,0
0,0,2023-08-07 23:28:37,0
0,0,2023-08-07 23:30:37,0
0,0,2023-08-07 23:32:37,0
0,0,2023-08-07 23:34:37,0
0,0,2023-08-07 23:36:37,0
0,0,2023-08-07 23:38:37,0
0,0,2023-08-07 23:40:37,0
0,0,2023-08-07 23:42:37,0
0,1,2023-08-07 23:44:37,0
0,0,2023-08-07 23:46:37,0
0,0,2023-08-07 23:48:37,0
0,0,2023-08-07 23:50:37,0
0,0,2023-08-07 23:52:37,0
0,0,2023-08-07 23:54:37,0
0,0,2023-08-07 23:56:37,0
0,0,2023-08-07 23:58:37,0
0,0,2023-08-08 00:00:37,0
0,0,2023-08-08 00:02:37,0
0,0,2023-08-08 00:04:37,0
0,1,2023-08-08 00:06:37,0
0,0,2023-08-08 00:08:37,0
0,0,2023-08-08 00:10:37,0
1,0,2023-08-08 00:12:37,0
0,0,2023-08-08 00:14:37,0
0,0,2023-08-08 00:16:37,0
0,0,2023-08-08 00:18:37,0
0,0,2023-08-08 00:20:37,0
0,0,2023-08-08 00:22:37,0
0,0,2023-08-08 00:24:37,0
0,0,2023-08-08 00:26:37,0
0,0,2023-08-08 00:28:37,0
0,0,2023-08-08 00:30:37,0
0,0,2023-08-08 00:32:37,0
0,0,2023-08-08 00:34:37,0
0,0,2023-08-08 00:36:37,0
0,0,2023-08-08 00:38:37,0
0,0,2023-08-08 00:40:37,0
0,0,2023-08-08 00:42:37,0
0,0,2023-08-08 00:44:37,0
0,0,2023-08-08 00:46:37,0
0,0,2023-08-08 00:48:37,0
0,0,2023-08-08 00:50:37,0
0,0,2023-08-08 00:52:37,0
0,1,2023-08-08 00:54:37,0
0,0,2023-08-08 00:56:37,0
0,0,2023-08-08 00:58:37,0
1,0,2023-08-08 01:00:37,0
0,0,2023-08-08 01:02:37,0
0,0,2023-08-08 01:04:37,0
0,0,2023-08-08 01:06:37,0
0,0,2023-08-08 01:08:37,0
0,0,2023-08-08 01:10:37,0
0,2,2023-08-08 01:12:37,1
0,2,2023-08-08 01:14:37,0
0,0,2023-08-08 01:16:37,0
0,0,2023-08-08 01:18:37,0
0,0,2023-08-08 01:20:37,0
0,0,2023-08-08 01:22:37,0
0,0,2023-08-08 01:24:37,0
0,0,2023-08-08 01:26:37,0
0,0,2023-08-08 01:28:37,0
0,0,2023-08-08 01:30:37,0
0,0,2023-08-08 01:32:37,0
0,0,2023-08-08 01:34:37,0
0,0,2023-08-08 01:36:37,0
0,0,2023-08-08 01:38:37,0
0,0,2023-08-08 01:40:37,0
0,0,2023-08-08 01:42:37,0
0,0,2023-08-08 01:44:37,0
0,0,2023-08-08 01:46:37,0
0,0,2023-08-08 01:48:37,0
0,0,2023-08-08 01:50:37,0
0,0,2023-08-08 01:52:37,0
0,0,2023-08-08 01:54:37,0
0,0,2023-08-08 01:56:37,0
0,0,2023-08-08 01:58:37,0
0,0,2023-08-08 02:00:37,0
0,0,2023-08-08 02:02:37,0
0,0,2023-08-08 02:04:37,0
0,0,2023-08-08 02:06:37,0
0,0,2023-08-08 02:08:37,0
0,0,2023-08-08 02:10:37,0
0,0,2023-08-08 02:12:37,0
0,0,2023-08-08 02:14:37,0
0,0,2023-08-08 02:16:37,0
0,0,2023-08-08 02:18:37,0
0,0,2023-08-08 02:20:37,0
0,0,2023-08-08 02:22:37,0
0,0,2023-08-08 02:24:37,0
0,0,2023-08-08 02:26:37,0
0,0,2023-08-08 02:28:37,0
0,0,2023-08-08 02:30:37,0
0,0,2023-08-08 02:32:37,0
0,0,2023-08-08 02:34:37,0
0,0,2023-08-08 02:36:37,0
0,0,2023-08-08 02:38:37,0
0,0,2023-08-08 02:40:37,0
0,0,2023-08-08 02:42:37,0
0,0,2023-08-08 02:44:37,0
0,0,2023-08-08 02:46:37,0
0,0,2023-08-08 02:48:37,0
0,0,2023-08-08 02:50:37,0
0,0,2023-08-08 02:52:37,0
0,0,2023-08-08 02:54:37,0
0,0,2023-08-08 02:56:37,0
0,0,2023-08-08 02:58:37,0
0,0,2023-08-08 03:00:37,0
0,0,2023-08-08 03:02:37,0
0,0,2023-08-08 03:04:37,0
0,0,2023-08-08 03:06:37,0
0,0,2023-08-08 03:08:37,0
0,0,2023-08-08 03:10:37,0
0,0,2023-08-08 03:12:37,0
0,0,2023-08-08 03:14:37,0
0,0,2023-08-08 03:16:37,0
0,0,2023-08-08 03:18:37,0
0,0,2023-08-08 03:20:37,0
0,0,2023-08-08 03:22:37,0
0,0,2023-08-08 03:24:37,0
0,0,2023-08-08 03:26:37,0
0,0,2023-08-08 03:28:37,0
0,0,2023-08-08 03:30:37,0
0,0,2023-08-08 03:32:37,0
0,0,2023-08-08 03:34:37,0
0,0,2023-08-08 03:36:37,0
0,0,2023-08-08 03:38:37,0
0,0,2023-08-08 03:40:37,0
0,0,2023-08-08 03:42:37,0
0,0,2023-08-08 03:44:37,0
0,0,2023-08-08 03:46:37,0
0,0,2023-08-08 03:48:37,0
0,0,2023-08-08 03:50:37,0
0,0,2023-08-08 03:52:37,0
0,0,2023-08-08 03:54:37,0
0,0,2023-08-08 03:56:37,0
0,0,2023-08-08 03:58:37,0
0,0,2023-08-08 04:00:37,0
0,0,2023-08-08 04:02:37,0
0,0,2023-08-08 04:04:37,0
0,0,2023-08-08 04:06:37,0
0,0,2023-08-08 04:08:37,0
0,0,2023-08-08 04:10:37,0
0,0,2023-08-08 04:12:37,0
0,0,2023-08-08 04:14:37,0
0,0,2023-08-08 04:16:37,0
0,0,2023-08-08 04:18:37,0
0,0,2023-08-08 04:20:37,0
0,0,2023-08-08 04:22:37,0
0,0,2023-08-08 04:24:37,0
0,0,2023-08-08 04:26:37,0
0,0,2023-08-08 04:28:37,0
0,0,2023-08-08 04:30:37,0
0,0,2023-08-08 04:32:37,0
0,0,2023-08-08 04:34:37,0
0,0,2023-08-08 04:36:37,0
0,0,2023-08-08 04:38:37,0
0,0,2023-08-08 04:40:37,0
0,0,2023-08-08 04:42:37,0
0,0,2023-08-08 04:44:37,0
0,0,2023-08-08 04:46:37,0
0,0,2023-08-08 04:48:37,0
0,0,2023-08-08 04:50:37,0
0,0,2023-08-08 04:52:37,0
0,0,2023-08-08 04:54:37,0
0,0,2023-08-08 04:56:37,0
0,0,2023-08-08 04:58:37,0
0,0,2023-08-08 05:00:37,0
0,0,2023-08-08 05:02:37,0
0,0,2023-08-08 05:04:37,0
0,0,2023-08-08 05:06:37,0
0,0,2023-08-08 05:08:37,0
0,0,2023-08-08 05:10:37,0
0,0,2023-08-08 05:12:37,0
0,0,2023-08-08 05:14:37,0
0,0,2023-08-08 05:16:37,0
0,0,2023-08-08 05:18:37,0
0,0,2023-08-08 05:20:37,0
0,0,2023-08-08 05:22:37,0
0,0,2023-08-08 05:24:37,0
0,0,2023-08-08 05:26:37,0
0,0,2023-08-08 05:28:37,0
0,0,2023-08-08 05:30:37,0
0,0,2023-08-08 05:32:37,0
0,0,2023-08-08 05:34:37,0
0,0,2023-08-08 05:36:37,0
0,0,2023-08-08 05:38:37,0
0,0,2023-08-08 05:40:37,0
0,0,2023-08-08 05:42:37,0
0,0,2023-08-08 05:44:37,0
0,0,2023-08-08 05:46:37,0
0,0,2023-08-08 05:48:37,0
0,0,2023-08-08 05:50:37,0
0,0,2023-08-08 05:52:37,0
0,0,2023-08-08 05:54:37,0
0,0,2023-08-08 05:56:37,0
0,0,2023-08-08 05:58:37,0
0,0,2023-08-08 06:00:37,0
0,0,2023-08-08 06:02:37,0
0,0,2023-08-08 06:04:37,0
0,0,2023-08-08 06:06:37,0
0,0,2023-08-08 06:08:37,0
0,0,2023-08-08 06:10:37,0
0,0,2023-08-08 06:12:37,0
0,0,2023-08-08 06:14:37,0
0,0,2023-08-08 06:16:37,0
0,0,2023-08-08 06:18:37,0
0,0,2023-08-08 06:20:37,0
0,0,2023-08-08 06:22:37,0
0,0,2023-08-08 06:24:37,0
0,0,2023-08-08 06:26:37,0
0,0,2023-08-08 06:28:37,0
0,0,2023-08-08 06:30:37,0
0,0,2023-08-08 06:32:37,0
0,0,2023-08-08 06:34:37,0
0,0,2023-08-08 06:36:37,0
0,0,2023-08-08 06:38:37,0
0,0,2023-08-08 06:40:37,0
0,0,2023-08-08 06:42:37,0
0,0,2023-08-08 06:44:37,0
0,0,2023-08-08 06:46:37,0
0,0,2023-08-08 06:48:37,0
0,0,2023-08-08 06:50:37,0
0,0,2023-08-08 06:52:37,0
0,0,2023-08-08 06:54:37,0
0,0,2023-08-08 06:56:37,0
0,0,2023-08-08 06:58:37,0
0,0,2023-08-08 07:00:37,0
0,0,2023-08-08 07:02:37,24
0,0,2023-08-08 07:04:37,12
0,0,2023-08-08 07:06:37,0
0,0,2023-08-08 07:08:37,0
0,0,2023-08-08 07:10:37,0
0,0,2023-08-08 07:12:37,0
0,0,2023-08-08 07:14:37,0
0,0,2023-08-08 07:16:37,0
0,0,2023-08-08 07:18:37,0
0,0,2023-08-08 07:20:37,0
0,0,2023-08-08 07:22:37,0
0,0,2023-08-08 07:24:37,0
0,0,2023-08-08 07:26:37,0
0,0,2023-08-08 07:28:37,0
0,0,2023-08-08 07:30:37,0
0,0,2023-08-08 07:32:37,0
0,0,2023-08-08 07:34:37,0
0,0,2023-08-08 07:36:37,0
0,0,2023-08-08 07:38:37,0
0,0,2023-08-08 07:40:37,0
0,0,2023-08-08 07:42:37,0
0,0,2023-08-08 07:44:37,0
0,1,2023-08-08 07:46:37,0
0,0,2023-08-08 07:48:37,0
0,0,2023-08-08 07:50:37,0
0,0,2023-08-08 07:52:37,0
0,0,2023-08-08 07:54:37,0
0,0,2023-08-08 07:56:37,0
0,0,2023-08-08 07:58:37,0
0,0,2023-08-08 08:00:37,0
0,0,2023-08-08 08:02:37,0
0,0,2023-08-08 08:04:37,0
0,0,2023-08-08 08:06:37,0
0,0,2023-08-08 08:08:37,0
0,0,2023-08-08 08:10:37,0
0,0,2023-08-08 08:12:37,0
0,0,2023-08-08 08:14:37,0
0,0,2023-08-08 08:16:37,0
0,0,2023-08-08 08:18:37,0
0,0,2023-08-08 08:20:37,0
0,0,2023-08-08 08:22:37,0
0,0,2023-08-08 08:24:37,0
0,0,2023-08-08 08:26:37,0
0,0,2023-08-08 08:28:37,0
0,0,2023-08-08 08:30:37,0
0,0,2023-08-08 08:32:37,0
0,0,2023-08-08 08:34:37,0
0,0,2023-08-08 08:36:37,0
0,0,2023-08-08 08:38:37,0
0,0,2023-08-08 08:40:37,0
0,0,2023-08-08 08:42:37,0
0,0,2023-08-08 08:44:37,0
0,0,2023-08-08 08:46:37,1
0,0,2023-08-08 08:48:37,1
0,0,2023-08-08 08:50:37,0
0,0,2023-08-08 08:52:37,0
0,0,2023-08-08 08:54:37,0
0,0,2023-08-08 08:56:37,0
0,2,2023-08-08 08:58:37,0
0,0,2023-08-08 09:00:37,0
0,1,2023-08-08 09:02:37,2
0,0,2023-08-08 09:04:37,0
0,0,2023-08-08 09:06:37,0
0,0,2023-08-08 09:08:37,1
0,0,2023-08-08 09:10:37,0
0,0,2023-08-08 09:12:37,0
0,0,2023-08-08 09:14:37,0
0,0,2023-08-08 09:16:37,0
0,0,2023-08-08 09:18:37,1
0,0,2023-08-08 09:20:37,0
0,1,2023-08-08 09:22:37,0
2,2,2023-08-08 09:24:37,2
0,1,2023-08-08 09:26:37,3
0,1,2023-08-08 09:28:37,0
0,0,2023-08-08 09:30:37,0
0,2,2023-08-08 09:32:37,2
6,2,2023-08-08 09:34:37,4
0,0,2023-08-08 09:36:37,0
0,0,2023-08-08 09:38:37,1
0,1,2023-08-08 09:40:37,1
0,0,2023-08-08 09:42:37,0
0,0,2023-08-08 09:44:37,0
0,1,2023-08-08 09:46:37,1
0,4,2023-08-08 09:48:37,3
0,2,2023-08-08 09:50:37,8
0,0,2023-08-08 09:52:37,6
0,4,2023-08-08 09:54:37,3
0,4,2023-08-08 09:56:37,2
0,1,2023-08-08 09:58:37,0
0,0,2023-08-08 10:00:37,0
18,1,2023-08-08 10:02:37,14
0,2,2023-08-08 10:04:37,2
0,0,2023-08-08 10:06:37,1
0,2,2023-08-08 10:08:37,3
0,3,2023-08-08 10:10:37,8
0,1,2023-08-08 10:12:37,3
1,3,2023-08-08 10:14:37,4
0,0,2023-08-08 10:16:37,6
4,0,2023-08-08 10:18:37,18
1,1,2023-08-08 10:20:37,4
0,2,2023-08-08 10:22:37,12
0,2,2023-08-08 10:24:37,12
2,3,2023-08-08 10:26:37,6
0,3,2023-08-08 10:28:37,5
2,4,2023-08-08 10:30:37,1
0,4,2023-08-08 10:32:37,13
0,1,2023-08-08 10:34:37,0
0,4,2023-08-08 10:36:37,1
0,3,2023-08-08 10:38:37,8
0,2,2023-08-08 10:40:37,9
0,3,2023-08-08 10:42:37,5
1,1,2023-08-08 10:44:37,4
0,3,2023-08-08 10:46:37,1
52,2,2023-08-08 10:48:37,22
2,0,2023-08-08 10:50:37,32
75,2,2023-08-08 10:52:37,31
0,2,2023-08-08 10:54:37,5
2,2,2023-08-08 10:56:37,6
3,7,2023-08-08 10:58:37,13
0,1,2023-08-08 11:00:37,7
1,3,2023-08-08 11:02:37,23
0,1,2023-08-08 11:04:37,9
1,2,2023-08-08 11:06:37,7
3,3,2023-08-08 11:08:37,13
0,1,2023-08-08 11:10:37,50
5,5,2023-08-08 11:12:37,9
11,5,2023-08-08 11:14:37,4
0,6,2023-08-08 11:16:37,19
0,2,2023-08-08 11:18:37,3
2,5,2023-08-08 11:20:37,7
0,4,2023-08-08 11:22:37,1
11,2,2023-08-08 11:24:37,0
0,1,2023-08-08 11:26:37,10
3,2,2023-08-08 11:28:37,4
0,2,2023-08-08 11:30:37,13
0,11,2023-08-08 11:32:37,15
0,2,2023-08-08 11:34:37,5
0,4,2023-08-08 11:36:37,9
6,0,2023-08-08 11:38:37,12
0,2,2023-08-08 11:40:37,2
0,2,2023-08-08 11:42:37,2
1,3,2023-08-08 11:44:37,8
0,4,2023-08-08 11:46:37,7
34,3,2023-08-08 11:48:37,17
0,2,2023-08-08 11:50:37,8
0,0,2023-08-08 11:52:37,7
0,4,2023-08-08 11:54:37,4
11,2,2023-08-08 11:56:37,9
0,6,2023-08-08 11:58:37,6
0,2,2023-08-08 12:00:37,4
30,0,2023-08-08 12:02:37,8
0,4,2023-08-08 12:04:37,8
0,6,2023-08-08 12:06:37,2
0,3,2023-08-08 12:08:37,4
0,9,2023-08-08 12:10:37,15
0,3,2023-08-08 12:12:37,10
0,3,2023-08-08 12:14:37,7
0,17,2023-08-08 12:16:37,31
0,17,2023-08-08 12:18:37,26
0,21,2023-08-08 12:20:37,43
0,29,2023-08-08 12:22:37,53
0,0,2023-08-08 12:24:37,0
0,0,2023-08-08 12:26:37,0
0,0,2023-08-08 12:28:37,0
0,0,2023-08-08 12:30:37,0
0,0,2023-08-08 12:32:37,0
0,1,2023-08-08 12:34:37,0
0,0,2023-08-08 12:36:37,2
0,0,2023-08-08 12:38:37,0
0,1,2023-08-08 12:40:37,0
0,1,2023-08-08 12:42:37,0
4,0,2023-08-08 12:44:37,0
0,0,2023-08-08 12:46:37,0
0,2,2023-08-08 12:48:37,0
0,0,2023-08-08 12:50:37,0
0,0,2023-08-08 12:52:37,12
0,0,2023-08-08 12:54:37,1
0,1,2023-08-08 12:56:37,0
0,0,2023-08-08 12:58:37,0
0,1,2023-08-08 13:00:37,0
0,6,2023-08-08 13:02:37,6
0,0,2023-08-08 13:04:37,0
0,0,2023-08-08 13:06:37,0
0,0,2023-08-08 13:08:37,0
0,2,2023-08-08 13:10:37,8
0,2,2023-08-08 13:12:37,8
0,0,2023-08-08 13:14:37,2
0,0,2023-08-08 13:16:37,0
0,0,2023-08-08 13:18:37,0
0,0,2023-08-08 13:20:37,0
0,0,2023-08-08 13:22:37,0
0,0,2023-08-08 13:24:37,0
0,0,2023-08-08 13:26:37,0
0,0,2023-08-08 13:28:37,0
0,0,2023-08-08 13:30:37,0
0,0,2023-08-08 13:32:37,0
0,0,2023-08-08 13:34:37,0
0,0,2023-08-08 13:36:37,0
0,0,2023-08-08 13:38:37,0
0,0,2023-08-08 13:40:37,0
0,0,2023-08-08 13:42:37,0
0,0,2023-08-08 13:44:37,0
0,1,2023-08-08 13:46:37,0
0,1,2023-08-08 13:48:37,2
0,2,2023-08-08 13:50:37,0
0,1,2023-08-08 13:52:37,0
0,1,2023-08-08 13:54:37,2
0,0,2023-08-08 13:56:37,0
0,2,2023-08-08 13:58:37,2
0,2,2023-08-08 14:00:37,2
0,1,2023-08-08 14:02:37,0
0,1,2023-08-08 14:04:37,7
0,2,2023-08-08 14:06:37,1
1,0,2023-08-08 14:08:37,28
0,2,2023-08-08 14:10:37,4
0,1,2023-08-08 14:12:37,3
0,4,2023-08-08 14:14:37,5
2,1,2023-08-08 14:16:37,1
0,5,2023-08-08 14:18:37,9
0,1,2023-08-08 14:20:37,5
46,3,2023-08-08 14:22:37,25
1,2,2023-08-08 14:24:37,3
0,6,2023-08-08 14:26:37,7
0,10,2023-08-08 14:28:37,7
5,0,2023-08-08 14:30:37,120
33,2,2023-08-08 14:32:37,25
0,6,2023-08-08 14:34:37,92
0,3,2023-08-08 14:36:37,3
0,5,2023-08-08 14:38:37,6
0,2,2023-08-08 14:40:37,1
2,6,2023-08-08 14:42:37,8
101,3,2023-08-08 14:44:37,44
56,25,2023-08-08 14:46:37,51
0,9,2023-08-08 14:48:37,19
0,9,2023-08-08 14:50:37,16
0,5,2023-08-08 14:52:37,11
51,8,2023-08-08 14:54:37,37
